"filename", "language", "JSON with Comments", "JSON", "Markdown", "JavaScript", "TypeScript", "XML", "YAML", "PostCSS", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\rybak\Downloads\Apps\SalesAgent\.claude\settings.local.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rybak\Downloads\Apps\SalesAgent\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 2, 21
"c:\Users\rybak\Downloads\Apps\SalesAgent\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 2, 22
"c:\Users\rybak\Downloads\Apps\SalesAgent\Documentation\Allgemein.md", "Markdown", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 29, 140
"c:\Users\rybak\Downloads\Apps\SalesAgent\Documentation\Kernfunktion.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 15, 62
"c:\Users\rybak\Downloads\Apps\SalesAgent\Documentation\Prozesse.md", "Markdown", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 24, 122
"c:\Users\rybak\Downloads\Apps\SalesAgent\Documentation\VertexAI_RAG_Integration.md", "Markdown", 0, 0, 631, 0, 0, 0, 0, 0, 0, 0, 0, 184, 815
"c:\Users\rybak\Downloads\Apps\SalesAgent\README.md", "Markdown", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 23, 96
"c:\Users\rybak\Downloads\Apps\SalesAgent\docs\VERTEX_AI_RAG.md", "Markdown", 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 74, 309
"c:\Users\rybak\Downloads\Apps\SalesAgent\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\rybak\Downloads\Apps\SalesAgent\firebase.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\rybak\Downloads\Apps\SalesAgent\next.config.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\rybak\Downloads\Apps\SalesAgent\package-lock.json", "JSON", 0, 8341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8342
"c:\Users\rybak\Downloads\Apps\SalesAgent\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\rybak\Downloads\Apps\SalesAgent\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 2, 34
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 6, 5, 90
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\analyze-rfp\route.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 8, 12, 123
